Crop,pH,N,pho,K,min_temp,max_temp,min_rain,max_rain,min_hum,max_hum,Season
Rice,6,125,11.4,41.5,25,35,175,300,70,80,monsoon
banana,6,385,284,185,17,27,90,120,80,90,monsoon
cotton,6,60,30,30,21,37,60,100,60,70,monsoon
groundnut,6.8,25,50,75,20,30,60,150,55,70,monsoon
maize,6.35,150,75,75,18,28,60,110,45,55,monsoon
onion,6,150,100,50,20,25,75,100,65,70,monsoon
potato,5.15,12,12,17,26,36,120,200,75,85,monsoon
ragi,6,60,30,30,27,37,70,120,70,80,monsoon
mustard,7,60,20,30,24,34,62,100,65,75,monsoon
sugarcane,7.15,150,80,80,19,29,100,175,80,85,monsoon
